PID,PLAYERNAME,PRICE,TYPE
942645,Khaleel Ahmed,80k,BWL
732291,Basil Thampi,75k,BWL
326017,Siddarth Kaul,85k,BWL
326016,Bhuvneshwar Kumar,100k,BWL
31872,Shahbaz Nadeem,75k,BWL
802575,T Natarajan,75k,BWL
793463,Rashid Khan,105k,BWL
438362,Sandeep Sharma,80k,BWL
533042,Billy Stanlake,80k,BWL
360911,Varun Aaron,80k,BWL
1126227,Aryaman Birla,75k,BWL
344580,Shreyas Gopal,75k,BWL
424377,Krishnappa Gowtham,75k,BWL
277955,Dhawal Kulkarni,75k,BWL
1131619,S Midhun,70k,BWL
554701,Shubham Ranjane,65k,BWL
559066,Ish Sodhi,75k,BWL
390484,Jaydev Unadkat,90k,BWL
430246,Yuzvendra Chahal,90k,BWL
261354,Nathan Coulter-Nile,95k,BWL
1083033,Kulwant Khejroliya,70k,BWL
940973,Mohammed Siraj,75k,BWL
1159712,Prayas Ray Barman,70k,BWL
700167,Navdeep Saini,80k,BWL
232364,Tim Southee,90k,BWL
376116,Umesh Yadav,90k,BWL
272477,Jason Behrendorff,75k,BWL
625383,Jasprit Bumrah,105k,BWL
1064812,Rahul Chahar,70k,BWL
319439,Mitchell McClenaghan,85k,BWL
49758,Lasith Malinga,80k,BWL
1081442,Mayank Markande,75k,BWL
450860,Adam Milne,75k,BWL
537126,Barinder Sran,75k,BWL
1125976,Arshdeep Singh,65k,BWL
528067,Murugan Ashwin,75k,BWL
26421,Ravichandran Ashwin,85k,BWL
1083577,Agnivesh Ayachi,65k,BWL
481896,Mohammed Shami,90k,BWL
974109,Mujeeb Ur Rahman,95k,BWL
1111917,Darshan Nalkande,65k,BWL
591650,Ankit Rajpoot,80k,BWL
459508,Andrew Tye,85k,BWL
1108375,Varun Chakravathi,75k,BWL
32966,Piyush Chawla,85k,BWL
493773,Lockie Ferguson,85k,BWL
244639,Harry Gurney,75k,BWL
559235,Kuldeep Yadav,95k,BWL
279862,Shrikant Mundhe,75k,BWL
1070188,Kamlesh Nagarkoti,80k,BWL
481979,Anrich Nortje,80k,BWL
917159,Prasidh Krishna,80k,BWL
1121579,Prithvi Raj,70k,BWL
694211,Avesh Khan,80k,BWL
588144,Bandaru Ayyappa,70k,BWL
277912,Trent Boult,90k,BWL
960361,Sandeep Lamichhane,80k,BWL
31107,Amit Mishra,80k,BWL
550215,Kagiso Rabada,90k,BWL
236779,Ishant Sharma,80k,BWL
853259,Nathu Singh,75k,BWL
1083030,KM Asif,70k,BWL
447261,Deepak Chahar,80k,BWL
29264,Harbhajan Singh,80k,BWL
40618,Imran Tahir,80k,BWL
694209,Monu Kumar,65k,BWL
542023,Lungi Ngidi,85k,BWL
502714,Mitchell Santner,80k,BWL
30288,Karn Sharma,75k,BWL
537119,Mohit Sharma,75k,BWL
475281,Shardul Thakur,80k,BWL
308251,David Willey,80k,BWL
