PID,PLAYERNAME,PRICE,TYPE
219889,David Warner,105k,BAT
1070183,Abhishek Sharma,80k,BAT
942645,Khaleel Ahmed,80k,BWL
297433,Jonny Bairstow,85k,WK
732291,Basil Thampi,75k,BWL
642531,Ricky Bhui,75k,ALL
302579,Shreevats Goswami,75k,WK
226492,Martin Guptill,80k,BAT
497121,Deepak Hooda,80k,BAT
326017,Siddarth Kaul,85k,BWL
326016,Bhuvneshwar Kumar,100k,BWL
25913,Mohammad Nabi,85k,ALL
31872,Shahbaz Nadeem,75k,BWL
802575,T Natarajan,75k,BWL
290630,Manish Pandey,85k,BAT
32498,Yusuf Pathan,85k,ALL
793463,Rashid Khan,105k,BWL
279810,Wriddhiman Saha,80k,WK
438362,Sandeep Sharma,80k,BWL
477021,Vijay Shankar,90k,ALL
56143,Shakib Al Hasan,85k,ALL
533042,Billy Stanlake,80k,BWL
277906,Kane Williamson,95k,BAT
267192,Steven Smith,90k,BAT
360911,Varun Aaron,80k,BWL
669855,Jofra Archer,85k,ALL
27223,Stuart Binny,80k,ALL
1126227,Aryaman Birla,75k,BWL
308967,Jos Buttler,95k,WK
500135,Prashant Chopra,70k,WK
344580,Shreyas Gopal,75k,BWL
424377,Krishnappa Gowtham,75k,BWL
277955,Dhawal Kulkarni,75k,BWL
403902,Liam Livingstone,75k,BAT
853265,Mahipal Lomror,75k,ALL
1131619,S Midhun,70k,BWL
1079434,Riyan Parag,70k,BAT
277916,Ajinkya Rahane,80k,BAT
554701,Shubham Ranjane,65k,BWL
425943,Sanju Samson,80k,BAT
377534,Shashank Singh,65k,BAT
559066,Ish Sodhi,75k,BWL
311158,Ben Stokes,90k,ALL
914567,Oshane Thomas,80k,ALL
446763,Rahul Tripathi,75k,BAT
500268,Ashton Turner,80k,ALL
390484,Jaydev Unadkat,90k,BWL
532856,Manan Vohra,75k,BAT
253802,Virat Kohli,110k,BAT
500360,Akshdeep Nath,70k,BAT
8917,Moeen Ali,85k,ALL
430246,Yuzvendra Chahal,90k,BWL
261354,Nathan Coulter-Nile,95k,BWL
