pid,name,price,type
642531,Ricky Bhui,75k,ALL
25913,Mohammad Nabi,85k,ALL
32498,Yusuf Pathan,85k,ALL
477021,Vijay Shankar,90k,ALL
56143,Shakib Al Hasan,85k,ALL
669855,Jofra Archer,85k,ALL
27223,Stuart Binny,80k,ALL
853265,Mahipal Lomror,75k,ALL
311158,Ben Stokes,90k,ALL
914567,Oshane Thomas,80k,ALL
500268,Ashton Turner,80k,ALL
8917,Moeen Ali,85k,ALL
55395,Colin de Grandhomme,90k,ALL
714451,Shivam Dubey,90k,ALL
537124,Gurkeerat Singh Mann,70k,ALL
670025,Shimron Hetmyer,95k,ALL
530773,Pawan Negi,80k,ALL
325012,Marcus Stoinis,95k,ALL
719715,Washington Sundar,80k,ALL
230371,Ben Cutting,85k,ALL
652359,Pankaj Jaiswal,70k,ALL
625371,Hardik Pandya,95k,ALL
471342,Krunal Pandya,85k,ALL
230559,Kieron Pollard,80k,ALL
1161489,Rasikh Salam,70k,ALL
1079839,Anukul Roy,70k,ALL
36084,Yuvraj Singh,90k,ALL
662973,Sam Curran,80k,ALL
1168641,Harpreet Brar,65k,ALL
5961,Moises Henriques,75k,ALL
375126,Hardus Viljoen,70k,ALL
457249,Carlos Brathwaite,85k,ALL
230558,Sunil Narine,105k,ALL
276298,Andre Russell,100k,ALL
723105,Rinku Singh,65k,ALL
439952,Chris Morris,90k,ALL
232359,Colin Munro,90k,ALL
554691,Axar Patel,85k,ALL
390481,Harshal Patel,80k,ALL
677081,Keemo Paul,75k,ALL
914541,Sherfane Rutherford,80k,ALL
237199,Jalaj Saxena,70k,ALL
423838,Rahul Tewatia,75k,ALL
447587,Jayant Yadav,80k,ALL
628217,Chaitanya Bishnoi,70k,ALL
51439,Dwayne Bravo,85k,ALL
234675,Ravindra Jadeja,80k,ALL
8180,Shane Watson,90k,ALL
