pid,name,price,type
219889,David Warner,105k,BAT
1070183,Abhishek Sharma,80k,BAT
226492,Martin Guptill,80k,BAT
497121,Deepak Hooda,80k,BAT
290630,Manish Pandey,85k,BAT
277906,Kane Williamson,95k,BAT
267192,Steven Smith,90k,BAT
403902,Liam Livingstone,75k,BAT
1079434,Riyan Parag,70k,BAT
277916,Ajinkya Rahane,80k,BAT
425943,Sanju Samson,80k,BAT
377534,Shashank Singh,65k,BAT
446763,Rahul Tripathi,75k,BAT
532856,Manan Vohra,75k,BAT
253802,Virat Kohli,110k,BAT
500360,Akshdeep Nath,70k,BAT
44936,AB de Villiers,105k,BAT
805235,Himmat Singh,65k,BAT
451947,Milind Kumar,65k,BAT
1119026,Devdutt Padikkal,65k,BAT
34102,Rohit Sharma,105k,BAT
851261,Anmolpreet Singh,65k,BAT
422342,Siddhesh Lad,70k,BAT
431901,Evin Lewis,85k,BAT
446507,Suryakumar Yadav,80k,BAT
398438,Mayank Agarwal,80k,BAT
51880,Chris Gayle,100k,BAT
398506,Mandeep Singh,80k,BAT
321777,David Miller,85k,BAT
398439,Karun Nair,85k,BAT
12454,Joe Denly,80k,BAT
326637,Chris Lynn,95k,BAT
604527,Nitish Rana,80k,BAT
1079848,Shivam Mavi,80k,BAT
1070173,Shubman Gill,80k,BAT
35582,Robin Uthappa,85k,BAT
28235,Shikhar Dhawan,100k,BAT
45705,Colin Ingram,90k,BAT
642519,Shreyas Iyer,90k,BAT
1079842,Manjot Kalra,75k,BAT
1070168,Prithvi Shaw,90k,BAT
452044,Hanuma Vihari,80k,BAT
44828,Faf du Plessis,85k,BAT
1060380,Ruturaj Gaikwad,65k,BAT
290716,Kedar Jadhav,85k,BAT
33335,Suresh Raina,95k,BAT
33141,Ambati Rayudu,85k,BAT
590327,Dhruv Shorey,75k,BAT
237095,Murali Vijay,80k,BAT
