PID,Name,Price,Type
30045,Dinesh Karthik,95k,WK
457249,Carlos Brathwaite,85k,ALL
32966,Piyush Chawla,85k,BWL
12454,Joe Denly,80k,BAT
493773,Lockie Ferguson,85k,BWL
244639,Harry Gurney,75k,BWL
559235,Kuldeep Yadav,95k,BWL
326637,Chris Lynn,95k,BAT
279862,Shrikant Mundhe,75k,BWL
1070188,Kamlesh Nagarkoti,80k,BWL
554700,Nikhil Naik,65k,WK
230558,Sunil Narine,105k,ALL
481979,Anrich Nortje,80k,BWL
917159,Prasidh Krishna,80k,BWL
1121579,Prithvi Raj,70k,BWL
604527,Nitish Rana,80k,BAT
276298,Andre Russell,100k,ALL
1079848,Shivam Mavi,80k,BAT
1070173,Shubman Gill,80k,BAT
723105,Rinku Singh,65k,ALL
35582,Robin Uthappa,85k,BAT
