pid,name,Price,Type
398438,Mayank Agarwal,80k,BAT
1125976,Arshdeep Singh,65k,BWL
528067,Murugan Ashwin,75k,BWL
26421,Ravichandran Ashwin,85k,BWL
1083577,Agnivesh Ayachi,65k,BWL
662973,Sam Curran,80k,ALL
51880,Chris Gayle,100k,BAT
1168641,Harpreet Brar,65k,ALL
5961,Moises Henriques,75k,ALL
642525,Sarfaraz Khan,75k,WK
398506,Mandeep Singh,80k,BAT
321777,David Miller,85k,BAT
481896,Mohammed Shami,90k,BWL
974109,Mujeeb Ur Rahman,95k,BWL
398439,Karun Nair,85k,BAT
1111917,Darshan Nalkande,65k,BWL
604302,Nicholas Pooran,75k,WK
422108,Lokesh Rahul,100k,WK
591650,Ankit Rajpoot,80k,BWL
1161024,Simran Singh,65k,WK
459508,Andrew Tye,85k,BWL
1108375,Varun Chakravathi,75k,BWL
375126,Hardus Viljoen,70k,ALL
