PID,Name,Price,Type
219889,David Warner,105k,BAT
1070183,Abhishek Sharma,80k,BAT
942645,Khaleel Ahmed,80k,BWL
297433,Jonny Bairstow,85k,WK
732291,Basil Thampi,75k,BWL
642531,Ricky Bhui,75k,ALL
302579,Shreevats Goswami,75k,WK
226492,Martin Guptill,80k,BAT
497121,Deepak Hooda,80k,BAT
326017,Siddarth Kaul,85k,BWL
326016,Bhuvneshwar Kumar,100k,BWL
25913,Mohammad Nabi,85k,ALL
31872,Shahbaz Nadeem,75k,BWL
802575,T Natarajan,75k,BWL
290630,Manish Pandey,85k,BAT
32498,Yusuf Pathan,85k,ALL
793463,Rashid Khan,105k,BWL
279810,Wriddhiman Saha,80k,WK
438362,Sandeep Sharma,80k,BWL
477021,Vijay Shankar,90k,ALL
56143,Shakib Al Hasan,85k,ALL
533042,Billy Stanlake,80k,BWL
277906,Kane Williamson,95k,BAT
